"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","North Shore, Nova Scotia","2016S05001220","Payroll employees","Number","223","units","0","v1374464790","10.2","82515","E","","","0"
"2015-01","North Shore, Nova Scotia","2016S05001220","Job vacancy rate","Percentage","242","units","0","v1374464791","10.3","","F","","","1"
"2015-01","Annapolis Valley, Nova Scotia","2016S05001230","Job vacancies","Number","223","units","0","v1374464792","11.1","1305","E","","","0"
"2015-01","Annapolis Valley, Nova Scotia","2016S05001230","Payroll employees","Number","223","units","0","v1374464793","11.2","41645","D","","","0"
"2015-01","Annapolis Valley, Nova Scotia","2016S05001230","Job vacancy rate","Percentage","242","units","0","v1374464794","11.3","3.0","E","","","1"
"2015-01","Southern, Nova Scotia","2016S05001240","Job vacancies","Number","223","units","0","v1374464795","12.1","1305","E","","","0"
"2015-01","Southern, Nova Scotia","2016S05001240","Payroll employees","Number","223","units","0","v1374464796","12.2","53915","D","","","0"
"2015-01","Southern, Nova Scotia","2016S05001240","Job vacancy rate","Percentage","242","units","0","v1374464797","12.3","2.4","E","","","1"
"2015-01","Halifax, Nova Scotia","2016S05001250","Job vacancies","Number","223","units","0","v1374464798","13.1","","F","","","0"
"2015-01","Halifax, Nova Scotia","2016S05001250","Payroll employees","Number","223","units","0","v1374464799","13.2","","F","","","0"
"2015-01","Halifax, Nova Scotia","2016S05001250","Job vacancy rate","Percentage","242","units","0","v1374464800","13.3","","F","","","1"
"2015-01","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1374464801","14.1","6430","E","","","0"
"2015-01","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1374464802","14.2","284980","D","","","0"
"2015-01","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v1374464803","14.3","2.2","E","","","1"
"2015-01","Campbellton-Miramichi, New Brunswick","2016S05001310","Job vacancies","Number","223","units","0","v1374464804","15.1","","F","","","0"
"2015-01","Campbellton-Miramichi, New Brunswick","2016S05001310","Payroll employees","Number","223","units","0","v1374464805","15.2","46040","E","","","0"
"2015-01","Campbellton-Miramichi, New Brunswick","2016S05001310","Job vacancy rate","Percentage","242","units","0","v1374464806","15.3","","F","","","1"
"2015-01","Moncton-Richibucto, New Brunswick","2016S05001320","Job vacancies","Number","223","units","0","v1374464807","16.1","","F","","","0"
"2015-01","Moncton-Richibucto, New Brunswick","2016S05001320","Payroll employees","Number","223","units","0","v1374464808","16.2","85765","E","","","0"
"2015-01","Moncton-Richibucto, New Brunswick","2016S05001320","Job vacancy rate","Percentage","242","units","0","v1374464809","16.3","","F","","","1"
"2015-01","Saint John-St. Stephen, New Brunswick","2016S05001330","Job vacancies","Number","223","units","0","v1374464810","17.1","","F","","","0"
"2015-01","Saint John-St. Stephen, New Brunswick","2016S05001330","Payroll employees","Number","223","units","0","v1374464811","17.2","72290","E","","","0"
"2015-01","Saint John-St. Stephen, New Brunswick","2016S05001330","Job vacancy rate","Percentage","242","units","0","v1374464812","17.3","","F","","","1"
"2015-01","Fredericton-Oromocto, New Brunswick","2016S05001340","Job vacancies","Number","223","units","0","v1374464813","18.1","1035","E","","","0"
"2015-01","Fredericton-Oromocto, New Brunswick","2016S05001340","Payroll employees","Number","223","units","0","v1374464814","18.2","51620","E","","","0"
"2015-01","Fredericton-Oromocto, New Brunswick","2016S05001340","Job vacancy rate","Percentage","242","units","0","v1374464815","18.3","2.0","E","","","1"
"2015-01","Edmundston-Woodstock, New Brunswick","2016S05001350","Job vacancies","Number","223","units","0","v1374464816","19.1","520","E","","","0"
"2015-01","Edmundston-Woodstock, New Brunswick","2016S05001350","Payroll employees","Number","223","units","0","v1374464817","19.2","29270","D","","","0"
"2015-01","Edmundston-Woodstock, New Brunswick","2016S05001350","Job vacancy rate","Percentage","242","units","0","v1374464818","19.3","1.7","E","","","1"
"2015-01","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1374464819","20.1","66305","D","","","0"
"2015-01","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1374464820","20.2","3333405","D","","","0"
"2015-01","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v1374464821","20.3","2.0","D","","","1"
"2015-01","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Job vacancies","Number","223","units","0","v1374464822","21.1","","F","","","0"
"2015-01","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Payroll employees","Number","223","units","0","v1374464823","21.2","31585","E","","","0"
"2015-01","Gaspésie-Îles-de-la-Madeleine, Quebec","2016S05002410","Job vacancy rate","Percentage","242","units","0","v1374464824","21.3","","F","","","1"
"2015-01","Bas-Saint-Laurent, Quebec","2016S05002415","Job vacancies","Number","223","units","0","v1374464825","22.1","1815","E","","","0"
"2015-01","Bas-Saint-Laurent, Quebec","2016S05002415","Payroll employees","Number","223","units","0","v1374464826","22.2","95885","D","","","0"
"2015-01","Bas-Saint-Laurent, Quebec","2016S05002415","Job vacancy rate","Percentage","242","units","0","v1374464827","22.3","1.9","E","","","1"
"2015-01","Capitale-Nationale, Quebec","2016S05002420","Job vacancies","Number","223","units","0","v1374464828","23.1","6315","E","","","0"
"2015-01","Capitale-Nationale, Quebec","2016S05002420","Payroll employees","Number","223","units","0","v1374464829","23.2","330305","E","","","0"
"2015-01","Capitale-Nationale, Quebec","2016S05002420","Job vacancy rate","Percentage","242","units","0","v1374464830","23.3","1.9","E","","","1"
"2015-01","Chaudière-Appalaches, Quebec","2016S05002425","Job vacancies","Number","223","units","0","v1374464831","24.1","4470","E","","","0"
"2015-01","Chaudière-Appalaches, Quebec","2016S05002425","Payroll employees","Number","223","units","0","v1374464832","24.2","169695","E","","","0"
"2015-01","Chaudière-Appalaches, Quebec","2016S05002425","Job vacancy rate","Percentage","242","units","0","v1374464833","24.3","2.6","E","","","1"
"2015-01","Estrie, Quebec","2016S05002430","Job vacancies","Number","223","units","0","v1374464834","25.1","2080","E","","","0"
"2015-01","Estrie, Quebec","2016S05002430","Payroll employees","Number","223","units","0","v1374464835","25.2","126340","D","","","0"
"2015-01","Estrie, Quebec","2016S05002430","Job vacancy rate","Percentage","242","units","0","v1374464836","25.3","1.6","E","","","1"
"2015-01","Centre-du-Québec, Quebec","2016S05002433","Job vacancies","Number","223","units","0","v1374464837","26.1","2135","D","","","0"
"2015-01","Centre-du-Québec, Quebec","2016S05002433","Payroll employees","Number","223","units","0","v1374464838","26.2","102725","D","","","0"
"2015-01","Centre-du-Québec, Quebec","2016S05002433","Job vacancy rate","Percentage","242","units","0","v1374464839","26.3","2.0","D","","","1"
"2015-01","Montérégie, Quebec","2016S05002435","Job vacancies","Number","223","units","0","v1374464840","27.1","9550","E","","","0"
"2015-01","Montérégie, Quebec","2016S05002435","Payroll employees","Number","223","units","0","v1374464841","27.2","506745","D","","","0"
"2015-01","Montérégie, Quebec","2016S05002435","Job vacancy rate","Percentage","242","units","0","v1374464842","27.3","1.8","E","","","1"
"2015-01","Montréal, Quebec","2016S05002440","Job vacancies","Number","223","units","0","v1374464843","28.1","22155","E","","","0"
"2015-01","Montréal, Quebec","2016S05002440","Payroll employees","Number","223","units","0","v1374464844","28.2","998175","E","","","0"
"2015-01","Montréal, Quebec","2016S05002440","Job vacancy rate","Percentage","242","units","0","v1374464845","28.3","2.2","E","","","1"
"2015-01","Laval, Quebec","2016S05002445","Job vacancies","Number","223","units","0","v1374464846","29.1","","F","","","0"
"2015-01","Laval, Quebec","2016S05002445","Payroll employees","Number","223","units","0","v1374464847","29.2","160090","E","","","0"
"2015-01","Laval, Quebec","2016S05002445","Job vacancy rate","Percentage","242","units","0","v1374464848","29.3","","F","","","1"
"2015-01","Lanaudière, Quebec","2016S05002450","Job vacancies","Number","223","units","0","v1374464849","30.1","2760","E","","","0"
"2015-01","Lanaudière, Quebec","2016S05002450","Payroll employees","Number","223","units","0","v1374464850","30.2","154080","E","","","0"
"2015-01","Lanaudière, Quebec","2016S05002450","Job vacancy rate","Percentage","242","units","0","v1374464851","30.3","","F","","","1"
"2015-01","Laurentides, Quebec","2016S05002455","Job vacancies","Number","223","units","0","v1374464852","31.1","3495","E","","","0"
"2015-01","Laurentides, Quebec","2016S05002455","Payroll employees","Number","223","units","0","v1374464853","31.2","186960","D","","","0"
"2015-01","Laurentides, Quebec","2016S05002455","Job vacancy rate","Percentage","242","units","0","v1374464854","31.3","1.8","E","","","1"
"2015-01","Outaouais, Quebec","2016S05002460","Job vacancies","Number","223","units","0","v1374464855","32.1","1520","E","","","0"
"2015-01","Outaouais, Quebec","2016S05002460","Payroll employees","Number","223","units","0","v1374464856","32.2","98410","E","","","0"
"2015-01","Outaouais, Quebec","2016S05002460","Job vacancy rate","Percentage","242","units","0","v1374464857","32.3","1.5","E","","","1"
"2015-01","Abitibi-Témiscamingue, Quebec","2016S05002465","Job vacancies","Number","223","units","0","v1374464858","33.1","920","E","","","0"
"2015-01","Abitibi-Témiscamingue, Quebec","2016S05002465","Payroll employees","Number","223","units","0","v1374464859","33.2","68085","D","","","0"
"2015-01","Abitibi-Témiscamingue, Quebec","2016S05002465","Job vacancy rate","Percentage","242","units","0","v1374464860","33.3","1.3","E","","","1"
"2015-01","Mauricie, Quebec","2016S05002470","Job vacancies","Number","223","units","0","v1374464861","34.1","2040","E","","","0"
"2015-01","Mauricie, Quebec","2016S05002470","Payroll employees","Number","223","units","0","v1374464862","34.2","","F","","","0"
"2015-01","Mauricie, Quebec","2016S05002470","Job vacancy rate","Percentage","242","units","0","v1374464863","34.3","","F","","","1"
"2015-01","Saguenay-Lac-Saint-Jean, Quebec","2016S05002475","Job vacancies","Number","223","units","0","v1374464864","35.1","1610","E","","","0"
"2015-01","Saguenay-Lac-Saint-Jean, Quebec","2016S05002475","Payroll employees","Number","223","units","0","v1374464865","35.2","113325","D","","","0"
"2015-01","Saguenay-Lac-Saint-Jean, Quebec","2016S05002475","Job vacancy rate","Percentage","242","units","0","v1374464866","35.3","1.4","E","","","1"
"2015-01","Côte-Nord and Nord-du-Québec, Quebec","","Job vacancies","Number","223","units","0","v1374464867","36.1","","F","","","0"
"2015-01","Côte-Nord and Nord-du-Québec, Quebec","","Payroll employees","Number","223","units","0","v1374464868","36.2","53950","E","","","0"
"2015-01","Côte-Nord and Nord-du-Québec, Quebec","","Job vacancy rate","Percentage","242","units","0","v1374464869","36.3","","F","","","1"
"2015-01","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1374464870","37.1","164320","E","","","0"
"2015-01","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1374464871","37.2","5742740","D","","","0"
"2015-01","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v1374464872","37.3","2.8","E","","","1"
"2015-01","Ottawa, Ontario","2016S05003510","Job vacancies","Number","223","units","0","v1374464873","38.1","","F","","","0"
"2015-01","Ottawa, Ontario","2016S05003510","Payroll employees","Number","223","units","0","v1374464874","38.2","","F","","","0"
"2015-01","Ottawa, Ontario","2016S05003510","Job vacancy rate","Percentage","242","units","0","v1374464875","38.3","","F","","","1"
"2015-01","Kingston-Pembroke, Ontario","2016S05003515","Job vacancies","Number","223","units","0","v1374464876","39.1","","F","","","0"
"2015-01","Kingston-Pembroke, Ontario","2016S05003515","Payroll employees","Number","223","units","0","v1374464877","39.2","188680","E","","","0"
"2015-01","Kingston-Pembroke, Ontario","2016S05003515","Job vacancy rate","Percentage","242","units","0","v1374464878","39.3","","F","","","1"
"2015-01","Muskoka-Kawarthas, Ontario","2016S05003520","Job vacancies","Number","223","units","0","v1374464879","40.1","3820","E","","","0"
"2015-01","Muskoka-Kawarthas, Ontario","2016S05003520","Payroll employees","Number","223","units","0","v1374464880","40.2","125805","E","","","0"
"2015-01","Muskoka-Kawarthas, Ontario","2016S05003520","Job vacancy rate","Percentage","242","units","0","v1374464881","40.3","2.9","E","","","1"
"2015-01","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v1374464882","41.1","81815","E","","","0"
"2015-01","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v1374464883","41.2","2816170","E","","","0"
"2015-01","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v1374464884","41.3","2.8","E","","","1"
"2015-01","Kitchener-Waterloo-Barrie, Ontario","2016S05003540","Job vacancies","Number","223","units","0","v1374464885","42.1","18770","E","","","0"
"2015-01","Kitchener-Waterloo-Barrie, Ontario","2016S05003540","Payroll employees","Number","223","units","0","v1374464886","42.2","602655","D","","","0"
"2015-01","Kitchener-Waterloo-Barrie, Ontario","2016S05003540","Job vacancy rate","Percentage","242","units","0","v1374464887","42.3","3.0","E","","","1"
"2015-01","Hamilton-Niagara Peninsula, Ontario","2016S05003550","Job vacancies","Number","223","units","0","v1374464888","43.1","17675","E","","","0"
"2015-01","Hamilton-Niagara Peninsula, Ontario","2016S05003550","Payroll employees","Number","223","units","0","v1374464889","43.2","546565","E","","","0"
"2015-01","Hamilton-Niagara Peninsula, Ontario","2016S05003550","Job vacancy rate","Percentage","242","units","0","v1374464890","43.3","3.1","E","","","1"
"2015-01","London, Ontario","2016S05003560","Job vacancies","Number","223","units","0","v1374464891","44.1","6255","E","","","0"
"2015-01","London, Ontario","2016S05003560","Payroll employees","Number","223","units","0","v1374464892","44.2","219835","E","","","0"
"2015-01","London, Ontario","2016S05003560","Job vacancy rate","Percentage","242","units","0","v1374464893","44.3","2.8","E","","","1"
"2015-01","Windsor-Sarnia, Ontario","2016S05003570","Job vacancies","Number","223","units","0","v1374464894","45.1","5995","E","","","0"
"2015-01","Windsor-Sarnia, Ontario","2016S05003570","Payroll employees","Number","223","units","0","v1374464895","45.2","232745","E","","","0"
"2015-01","Windsor-Sarnia, Ontario","2016S05003570","Job vacancy rate","Percentage","242","units","0","v1374464896","45.3","2.5","E","","","1"
"2015-01","Stratford-Bruce Peninsula, Ontario","2016S05003580","Job vacancies","Number","223","units","0","v1374464897","46.1","3110","D","","","0"
"2015-01","Stratford-Bruce Peninsula, Ontario","2016S05003580","Payroll employees","Number","223","units","0","v1374464898","46.2","117590","D","","","0"
"2015-01","Stratford-Bruce Peninsula, Ontario","2016S05003580","Job vacancy rate","Percentage","242","units","0","v1374464899","46.3","2.6","D","","","1"
"2015-01","Northeast, Ontario","2016S05003590","Job vacancies","Number","223","units","0","v1374464900","47.1","","F","","","0"
"2015-01","Northeast, Ontario","2016S05003590","Payroll employees","Number","223","units","0","v1374464901","47.2","234025","E","","","0"
"2015-01","Northeast, Ontario","2016S05003590","Job vacancy rate","Percentage","242","units","0","v1374464902","47.3","","F","","","1"
"2015-01","Northwest, Ontario","2016S05003595","Job vacancies","Number","223","units","0","v1374464903","48.1","","F","","","0"
"2015-01","Northwest, Ontario","2016S05003595","Payroll employees","Number","223","units","0","v1374464904","48.2","90950","E","","","0"
"2015-01","Northwest, Ontario","2016S05003595","Job vacancy rate","Percentage","242","units","0","v1374464905","48.3","","F","","","1"
"2015-01","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1374464906","49.1","15090","E","","","0"
"2015-01","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1374464907","49.2","558325","D","","","0"
"2015-01","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v1374464908","49.3","2.6","E","","","1"
"2015-01","Southeast, Manitoba","2016S05004610","Job vacancies","Number","223","units","0","v1374464909","50.1","735","E","","","0"
"2015-01","Southeast, Manitoba","2016S05004610","Payroll employees","Number","223","units","0","v1374464910","50.2","43625","E","","","0"
"2015-01","Southeast, Manitoba","2016S05004610","Job vacancy rate","Percentage","242","units","0","v1374464911","50.3","1.7","E","","","1"
"2015-01","South Central and North Central, Manitoba","","Job vacancies","Number","223","units","0","v1374464912","51.1","1735","E","","","0"
"2015-01","South Central and North Central, Manitoba","","Payroll employees","Number","223","units","0","v1374464913","51.2","48420","D","","","0"
"2015-01","South Central and North Central, Manitoba","","Job vacancy rate","Percentage","242","units","0","v1374464914","51.3","3.5","E","","","1"
"2015-01","Southwest, Manitoba","2016S05004630","Job vacancies","Number","223","units","0","v1374464915","52.1","","F","","","0"
"2015-01","Southwest, Manitoba","2016S05004630","Payroll employees","Number","223","units","0","v1374464916","52.2","48375","E","","","0"
"2015-01","Southwest, Manitoba","2016S05004630","Job vacancy rate","Percentage","242","units","0","v1374464917","52.3","","F","","","1"
"2015-01","Winnipeg, Manitoba","2016S05004650","Job vacancies","Number","223","units","0","v1374464918","53.1","","F","","","0"
"2015-01","Winnipeg, Manitoba","2016S05004650","Payroll employees","Number","223","units","0","v1374464919","53.2","335095","E","","","0"
"2015-01","Winnipeg, Manitoba","2016S05004650","Job vacancy rate","Percentage","242","units","0","v1374464920","53.3","","F","","","1"
"2015-01","Interlake, Manitoba","2016S05004660","Job vacancies","Number","223","units","0","v1374464921","54.1","580","E","","","0"
"2015-01","Interlake, Manitoba","2016S05004660","Payroll employees","Number","223","units","0","v1374464922","54.2","31640","D","","","0"
"2015-01","Interlake, Manitoba","2016S05004660","Job vacancy rate","Percentage","242","units","0","v1374464923","54.3","1.8","E","","","1"
"2015-01","Parklands and North, Manitoba","","Job vacancies","Number","223","units","0","v1374464924","55.1","","F","","","0"
"2015-01","Parklands and North, Manitoba","","Payroll employees","Number","223","units","0","v1374464925","55.2","","F","","","0"
"2015-01","Parklands and North, Manitoba","","Job vacancy rate","Percentage","242","units","0","v1374464926","55.3","","F","","","1"
"2015-01","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1374464927","56.1","15330","D","","","0"
"2015-01","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1374464928","56.2","466385","D","","","0"
"2015-01","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v1374464929","56.3","3.2","D","","","1"
"2015-01","Regina-Moose Mountain, Saskatchewan","2016S05004710","Job vacancies","Number","223","units","0","v1374464930","57.1","4120","E","","","0"
"2015-01","Regina-Moose Mountain, Saskatchewan","2016S05004710","Payroll employees","Number","223","units","0","v1374464931","57.2","159225","D","","","0"
"2015-01","Regina-Moose Mountain, Saskatchewan","2016S05004710","Job vacancy rate","Percentage","242","units","0","v1374464932","57.3","2.5","E","","","1"
"2015-01","Swift Current-Moose Jaw, Saskatchewan","2016S05004720","Job vacancies","Number","223","units","0","v1374464933","58.1","","F","","","0"
"2015-01","Swift Current-Moose Jaw, Saskatchewan","2016S05004720","Payroll employees","Number","223","units","0","v1374464934","58.2","36435","E","","","0"
"2015-01","Swift Current-Moose Jaw, Saskatchewan","2016S05004720","Job vacancy rate","Percentage","242","units","0","v1374464935","58.3","","F","","","1"
"2015-01","Saskatoon-Biggar, Saskatchewan","2016S05004730","Job vacancies","Number","223","units","0","v1374464936","59.1","5300","E","","","0"
"2015-01","Saskatoon-Biggar, Saskatchewan","2016S05004730","Payroll employees","Number","223","units","0","v1374464937","59.2","155180","D","","","0"
"2015-01","Saskatoon-Biggar, Saskatchewan","2016S05004730","Job vacancy rate","Percentage","242","units","0","v1374464938","59.3","3.3","E","","","1"
"2015-01","Yorkton-Melville, Saskatchewan","2016S05004740","Job vacancies","Number","223","units","0","v1374464939","60.1","1480","E","","","0"
"2015-01","Yorkton-Melville, Saskatchewan","2016S05004740","Payroll employees","Number","223","units","0","v1374464940","60.2","34845","E","","","0"
"2015-01","Yorkton-Melville, Saskatchewan","2016S05004740","Job vacancy rate","Percentage","242","units","0","v1374464941","60.3","4.1","E","","","1"
"2015-01","Prince Albert and Northern, Saskatchewan","","Job vacancies","Number","223","units","0","v1374464942","61.1","2180","E","","","0"
"2015-01","Prince Albert and Northern, Saskatchewan","","Payroll employees","Number","223","units","0","v1374464943","61.2","80700","E","","","0"
"2015-01","Prince Albert and Northern, Saskatchewan","","Job vacancy rate","Percentage","242","units","0","v1374464944","61.3","2.6","E","","","1"
"2015-01","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1374464945","62.1","82990","E","","","0"
"2015-01","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1374464946","62.2","2019255","E","","","0"
"2015-01","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v1374464947","62.3","3.9","E","","","1"
"2015-01","Lethbridge-Medicine Hat, Alberta","2016S05004810","Job vacancies","Number","223","units","0","v1374464948","63.1","4460","E","","","0"
"2015-01","Lethbridge-Medicine Hat, Alberta","2016S05004810","Payroll employees","Number","223","units","0","v1374464949","63.2","128495","E","","","0"
"2015-01","Lethbridge-Medicine Hat, Alberta","2016S05004810","Job vacancy rate","Percentage","242","units","0","v1374464950","63.3","3.4","E","","","1"
"2015-01","Camrose-Drumheller, Alberta","2016S05004820","Job vacancies","Number","223","units","0","v1374464951","64.1","","F","","","0"
"2015-01","Camrose-Drumheller, Alberta","2016S05004820","Payroll employees","Number","223","units","0","v1374464952","64.2","83790","E","","","0"
"2015-01","Camrose-Drumheller, Alberta","2016S05004820","Job vacancy rate","Percentage","242","units","0","v1374464953","64.3","","F","","","1"
"2015-01","Calgary, Alberta","2016S05004830","Job vacancies","Number","223","units","0","v1374464954","65.1","","F","","","0"
"2015-01","Calgary, Alberta","2016S05004830","Payroll employees","Number","223","units","0","v1374464955","65.2","728685","E","","","0"
"2015-01","Calgary, Alberta","2016S05004830","Job vacancy rate","Percentage","242","units","0","v1374464956","65.3","","F","","","1"
"2015-01","Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta","","Job vacancies","Number","223","units","0","v1374464957","66.1","","F","","","0"
"2015-01","Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta","","Payroll employees","Number","223","units","0","v1374464958","66.2","174470","E","","","0"
"2015-01","Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta","","Job vacancy rate","Percentage","242","units","0","v1374464959","66.3","","F","","","1"
"2015-01","Red Deer, Alberta","2016S05004850","Job vacancies","Number","223","units","0","v1374464960","67.1","3440","E","","","0"
"2015-01","Red Deer, Alberta","2016S05004850","Payroll employees","Number","223","units","0","v1374464961","67.2","126375","E","","","0"
"2015-01","Red Deer, Alberta","2016S05004850","Job vacancy rate","Percentage","242","units","0","v1374464962","67.3","2.6","E","","","1"
"2015-01","Edmonton, Alberta","2016S05004860","Job vacancies","Number","223","units","0","v1374464963","68.1","30915","E","","","0"
"2015-01","Edmonton, Alberta","2016S05004860","Payroll employees","Number","223","units","0","v1374464964","68.2","696545","E","","","0"
"2015-01","Edmonton, Alberta","2016S05004860","Job vacancy rate","Percentage","242","units","0","v1374464965","68.3","4.2","E","","","1"
"2015-01","Wood Buffalo-Cold Lake, Alberta","2016S05004880","Job vacancies","Number","223","units","0","v1374464966","69.1","","F","","","0"
"2015-01","Wood Buffalo-Cold Lake, Alberta","2016S05004880","Payroll employees","Number","223","units","0","v1374464967","69.2","","F","","","0"
"2015-01","Wood Buffalo-Cold Lake, Alberta","2016S05004880","Job vacancy rate","Percentage","242","units","0","v1374464968","69.3","","F","","","1"
"2015-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1374464969","70.1","72820","E","","","0"
"2015-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1374464970","70.2","1964855","E","","","0"
"2015-01","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v1374464971","70.3","3.6","E","","","1"
"2015-01","Vancouver Island and Coast, British Columbia","2016S05005910","Job vacancies","Number","223","units","0","v1374464972","71.1","9635","E","","","0"
"2015-01","Vancouver Island and Coast, British Columbia","2016S05005910","Payroll employees","Number","223","units","0","v1374464973","71.2","316140","E","","","0"
"2015-01","Vancouver Island and Coast, British Columbia","2016S05005910","Job vacancy rate","Percentage","242","units","0","v1374464974","71.3","3.0","E","","","1"
"2015-01","Lower Mainland-Southwest, British Columbia","2016S05005920","Job vacancies","Number","223","units","0","v1374464975","72.1","","F","","","0"
